id	activity_status
ado	active
afpo	active
agro	active
aism	active
amphx	active
apo	active
apollo_sv	active
aro	active
bco	active
bfo	active
bspo	active
bto	active
caro	active
cdao	active
cdno	active
chebi	active
cheminf	active
chiro	active
chmo	active
cido	active
cio	active
cl	active
clao	active
clo	active
clyh	active
cmo	active
cob	active
colao	active
cro	active
cteno	active
cto	active
cvdo	active
ddanat	active
ddpheno	active
dideo	active
disdriv	active
doid	active
dpo	active
dron	active
duo	active
ecao	active
eco	active
ecocore	active
ecto	active
emapa	active
envo	active
epio	active
exo	active
fao	active
fbbt	active
fbcv	active
fbdv	active
fideo	active
flopo	active
fobi	active
foodon	active
fovt	active
fypo	active
gallont	active
gecko	active
genepio	active
geno	active
geo	active
gno	active
go	active
hancestro	active
hao	active
hom	active
hsapdv	active
hso	active
htn	active
iao	active
iceo	active
ico	active
ido	active
ino	active
labo	active
lepao	active
ma	active
maxo	active
mco	active
mcro	active
mf	active
mfoem	active
mfomd	active
mi	active
miapa	active
mmo	active
mmusdv	active
mod	active
mondo	active
mop	active
mp	active
mpath	active
mpio	active
mro	active
ms	active
nbo	active
ncbitaxon	active
ncit	active
ncro	active
ngbo	active
nomen	active
oae	active
oarcs	active
oba	active
obcs	active
obi	active
obib	active
occo	active
ogg	active
ogms	active
ohd	active
ohmi	active
ohpi	active
omit	active
omo	active
omp	active
omrse	active
one	active
ons	active
ontoavida	active
ontoneo	active
oostt	active
opl	active
opmi	active
ornaseq	active
ovae	active
pato	active
pcl	active
pco	active
pdro	active
peco	active
phipo	active
plana	active
planp	active
po	active
poro	active
ppo	active
pr	active
proco	active
psdo	active
pso	active
pw	active
rbo	active
ro	active
rs	active
rxno	active
sepio	active
slso	active
so	active
spd	active
stato	active
swo	active
symp	active
t4fs	active
taxrank	active
to	active
trans	active
tto	active
txpo	active
uberon	active
uo	active
upheno	active
vbo	active
vo	active
vt	active
vto	active
wbbt	active
wbls	active
wbphenotype	active
xao	active
xco	active
xlmod	active
xpo	active
zeco	active
zfa	active
zfs	active
zp	active
gsso	active
hp	active
kisao	active
sbo	active
scdo	active
fix	orphaned
mamo	orphaned
rex	orphaned
sibo	orphaned
vario	orphaned
eupath	inactive
fbbi	inactive
mfmo	inactive
micro	inactive
ogsf	inactive
olatdv	inactive
pdumdv	inactive
aeo	inactive
ceph	inactive
ehdaa2	inactive
fma	inactive
gaz	inactive
idomal	inactive
miro	inactive
rnao	inactive
tads	inactive
tgma	inactive
upa	inactive
aao	inactive
adw	inactive
aero	inactive
ato	inactive
bcgo	inactive
bila	inactive
bootstrep	inactive
cmf	inactive
dc_cl	inactive
dinto	inactive
ehda	inactive
ehdaa	inactive
emap	inactive
eo	inactive
epo	inactive
ero	inactive
ev	inactive
fbsp	inactive
flu	inactive
gro	inactive
habronattus	inactive
iev	inactive
imr	inactive
ipr	inactive
lipro	inactive
loggerhead	inactive
mao	inactive
mat	inactive
mfo	inactive
mirnao	inactive
mo	inactive
nif_cell	inactive
nif_dysfunction	inactive
nif_grossanatomy	inactive
nmr	inactive
obo_rel	inactive
ogi	inactive
omiabis	inactive
pao	inactive
pd_st	inactive
pgdso	inactive
plo	inactive
propreo	inactive
resid	inactive
sao	inactive
sep	inactive
sopharm	inactive
tahe	inactive
tahh	inactive
tao	inactive
vhog	inactive
vsao	inactive
ypo	inactive
zea	inactive
